customer_id,date,segment,actual_balance,yhat,yhat_lower,anomaly_severity
NW000012,2026-05-25,sme_distressed,4096.67,1476.08,510.57,CRITICAL_EWS
NW000013,2026-06-28,sme_seasonal,5910.94,4136.39,3204.81,CRITICAL_EWS
NW000015,2026-05-26,stable_salaried,11155.84,9918.3,8987.97,HIGH_VARIANCE
NW000017,2026-05-27,stretched_salaried,5092.46,3638.8,2674.49,HIGH_VARIANCE
NW000020,2026-06-27,stretched_salaried,5173.07,2330.47,1367.34,CRITICAL_EWS
NW000020,2026-07-27,stretched_salaried,5052.53,2330.47,1367.34,CRITICAL_EWS
NW000034,2026-07-28,sme_distressed,3273.22,1563.82,715.74,CRITICAL_EWS
NW000037,2026-06-25,stretched_salaried,2951.47,1642.42,642.36,HIGH_VARIANCE
NW000045,2026-05-25,stretched_salaried,3286.29,1372.39,482.43,CRITICAL_EWS
NW000051,2026-05-25,sme_distressed,4099.51,1694.41,738.84,CRITICAL_EWS
NW000053,2026-05-25,sme_distressed,3795.77,2068.88,1087.78,CRITICAL_EWS
NW000061,2026-05-26,gig_worker,4425.23,2578.95,1743.61,CRITICAL_EWS
NW000078,2026-07-25,stable_salaried,11733.85,10254.82,9436.46,CRITICAL_EWS
NW000078,2026-06-28,stable_salaried,12950.92,10254.82,9436.46,CRITICAL_EWS
NW000078,2026-07-26,stable_salaried,12505.96,10254.82,9436.46,CRITICAL_EWS
NW000094,2026-06-28,freelancer,5786.88,3715.82,2770.55,CRITICAL_EWS
NW000096,2026-07-26,freelancer,6951.18,5558.02,4672.28,CRITICAL_EWS
NW000114,2026-06-26,sme_seasonal,9711.31,8074.71,6947.92,HIGH_VARIANCE
NW000126,2026-06-26,gig_worker,3370.71,1583.87,685.18,CRITICAL_EWS
NW000131,2026-07-28,gig_worker,5709.78,3129.54,2152.2,CRITICAL_EWS
NW000159,2026-05-26,stretched_salaried,2821.88,488.44,-523.25,CRITICAL_EWS
NW000166,2026-07-27,sme_seasonal,5527.9,2511.67,1545.17,CRITICAL_EWS
NW000172,2026-07-27,stable_salaried,11014.53,9111.13,8332.78,CRITICAL_EWS
NW000183,2026-07-27,sme_distressed,1684.63,584.15,-338.84,HIGH_VARIANCE
NW000185,2026-06-26,stretched_salaried,3740.05,2328.97,1415.02,HIGH_VARIANCE
NW000185,2026-05-26,stretched_salaried,4349.6,2328.97,1415.02,CRITICAL_EWS
NW000188,2026-05-25,freelancer,3527.58,1144.1,140.07,CRITICAL_EWS
NW000242,2026-05-26,sme_distressed,3948.02,1409.9,539.44,CRITICAL_EWS
NW000242,2026-06-25,sme_distressed,2837.28,1409.9,539.44,CRITICAL_EWS
NW000245,2026-05-28,stable_salaried,11924.78,9347.73,8535.04,CRITICAL_EWS
NW000251,2026-06-25,stretched_salaried,5147.66,3209.04,2299.26,CRITICAL_EWS
NW000269,2026-06-26,gig_worker,5089.17,3704.99,2701.23,HIGH_VARIANCE
NW000276,2026-06-25,freelancer,5358.99,2747.34,1837.34,CRITICAL_EWS
NW000287,2026-06-28,gig_worker,5303.57,3483.25,2631.91,CRITICAL_EWS
NW000291,2026-06-25,stable_salaried,11289.27,8822.05,7724.78,CRITICAL_EWS
NW000310,2026-05-26,stretched_salaried,5318.19,3705.57,2806.85,CRITICAL_EWS
NW000311,2026-05-28,gig_worker,3594.08,1705.22,775.85,CRITICAL_EWS
NW000315,2026-06-25,sme_seasonal,8704.89,6312.15,5262.75,CRITICAL_EWS
NW000319,2026-05-27,stable_salaried,11481.2,9963.6,8969.02,HIGH_VARIANCE
NW000324,2026-05-26,stretched_salaried,3786.22,2116.82,1267.2,CRITICAL_EWS
NW000330,2026-07-26,stretched_salaried,3653.1,1975.61,1176.91,CRITICAL_EWS
NW000331,2026-07-27,gig_worker,3800.39,1107.35,208.03,CRITICAL_EWS
NW000386,2026-06-28,sme_seasonal,7440.54,5044.47,4203.38,CRITICAL_EWS
NW000395,2026-07-26,stretched_salaried,3604.19,2077.4,1015.76,HIGH_VARIANCE
NW000396,2026-06-27,sme_distressed,4338.0,2276.82,1372.3,CRITICAL_EWS
NW000405,2026-05-25,stretched_salaried,3133.99,1316.68,434.66,CRITICAL_EWS
NW000405,2026-06-28,stretched_salaried,2552.25,1316.68,434.66,HIGH_VARIANCE
NW000407,2026-05-27,gig_worker,5502.02,3396.78,2313.6,CRITICAL_EWS
NW000412,2026-05-25,sme_distressed,1989.32,452.33,-551.66,HIGH_VARIANCE
NW000445,2026-07-28,sme_seasonal,7700.14,5890.12,4904.91,CRITICAL_EWS
NW000447,2026-07-28,sme_distressed,4259.53,2021.12,1061.9,CRITICAL_EWS
NW000453,2026-05-25,gig_worker,4251.61,1870.36,1088.49,CRITICAL_EWS
NW000465,2026-07-26,sme_distressed,2489.8,1138.16,231.33,HIGH_VARIANCE
NW000472,2026-06-28,sme_distressed,3906.16,3006.38,2324.62,HIGH_VARIANCE
NW000476,2026-05-26,sme_distressed,3424.09,1322.86,351.76,CRITICAL_EWS
NW000480,2026-07-28,freelancer,5478.96,3633.54,2733.94,CRITICAL_EWS
NW000512,2026-07-28,gig_worker,3100.97,1318.81,418.8,CRITICAL_EWS
NW000517,2026-07-25,gig_worker,2609.22,1021.44,42.86,CRITICAL_EWS
NW000523,2026-07-26,sme_distressed,3506.0,1514.32,536.15,CRITICAL_EWS
NW000527,2026-06-25,gig_worker,2639.28,1030.23,257.69,CRITICAL_EWS
NW000532,2026-06-26,sme_distressed,2866.89,838.89,-177.51,CRITICAL_EWS
NW000532,2026-05-27,sme_distressed,2420.48,838.89,-177.51,HIGH_VARIANCE
NW000538,2026-05-27,stretched_salaried,4503.22,2655.1,1625.98,CRITICAL_EWS
NW000543,2026-07-25,stretched_salaried,4139.67,1964.71,908.2,CRITICAL_EWS
NW000546,2026-07-27,gig_worker,5674.27,4206.03,3292.95,CRITICAL_EWS
NW000548,2026-05-27,young_professional,7534.99,5297.44,4418.53,CRITICAL_EWS
NW000580,2026-07-27,stretched_salaried,4130.88,1668.85,782.38,CRITICAL_EWS
NW000594,2026-05-27,stretched_salaried,5301.1,2444.69,1450.8,CRITICAL_EWS
NW000597,2026-05-26,young_professional,5865.26,3095.7,2184.81,CRITICAL_EWS
NW000622,2026-05-25,stretched_salaried,4262.07,2154.26,1175.38,CRITICAL_EWS
NW000622,2026-06-26,stretched_salaried,4650.14,2154.26,1175.38,CRITICAL_EWS
NW000630,2026-05-25,stretched_salaried,6420.38,3680.65,2631.33,CRITICAL_EWS
NW000640,2026-05-25,gig_worker,5027.26,3106.59,2285.32,CRITICAL_EWS
NW000642,2026-05-25,stretched_salaried,5310.06,3127.06,2187.37,CRITICAL_EWS
NW000650,2026-06-27,freelancer,4077.91,1659.09,712.62,CRITICAL_EWS
NW000661,2026-06-26,gig_worker,2667.09,1187.21,426.12,CRITICAL_EWS
NW000663,2026-05-26,young_professional,6716.74,5216.64,4166.16,HIGH_VARIANCE
NW000678,2026-06-28,gig_worker,3155.29,1715.94,939.8,CRITICAL_EWS
NW000692,2026-06-26,gig_worker,2996.57,677.53,-253.11,CRITICAL_EWS
NW000718,2026-06-26,sme_distressed,4255.21,1683.47,634.99,CRITICAL_EWS
NW000739,2026-06-25,gig_worker,3537.88,675.8,-278.86,CRITICAL_EWS
NW000740,2026-05-25,gig_worker,4049.96,2276.04,1315.55,CRITICAL_EWS
NW000745,2026-06-28,stretched_salaried,4740.93,2390.63,1390.08,CRITICAL_EWS
NW000761,2026-05-27,stable_salaried,13375.05,10321.61,9138.32,CRITICAL_EWS
NW000764,2026-07-25,near_retiree,16274.04,14778.23,13756.89,HIGH_VARIANCE
NW000776,2026-07-25,stable_salaried,10123.96,8489.48,7629.74,CRITICAL_EWS
NW000777,2026-06-26,stretched_salaried,3819.36,1872.88,918.36,CRITICAL_EWS
NW000788,2026-06-26,gig_worker,1706.32,615.2,-248.93,HIGH_VARIANCE
NW000789,2026-07-28,gig_worker,5864.61,3477.21,2484.16,CRITICAL_EWS
NW000790,2026-05-27,sme_distressed,3203.27,1434.26,554.55,CRITICAL_EWS
NW000800,2026-05-28,sme_distressed,4819.2,2870.02,1915.29,CRITICAL_EWS
NW000805,2026-07-26,gig_worker,4395.39,2522.62,1613.26,CRITICAL_EWS
NW000811,2026-05-26,sme_distressed,4038.89,2162.31,1284.66,CRITICAL_EWS
NW000823,2026-05-26,stretched_salaried,3708.24,1397.57,397.02,CRITICAL_EWS
NW000844,2026-06-25,sme_distressed,3874.48,1777.56,769.26,CRITICAL_EWS
NW000856,2026-05-28,stable_salaried,10504.03,7638.79,6727.14,CRITICAL_EWS
NW000856,2026-06-27,stable_salaried,10102.6,7638.79,6727.14,CRITICAL_EWS
NW000877,2026-06-28,near_retiree,18283.54,15660.78,14625.88,CRITICAL_EWS
NW000884,2026-07-26,stable_salaried,9697.53,8409.44,7489.26,HIGH_VARIANCE
NW000891,2026-06-26,near_retiree,17790.83,16323.81,15408.8,CRITICAL_EWS
NW000894,2026-05-26,gig_worker,5042.87,2476.95,1381.04,CRITICAL_EWS
NW000901,2026-05-27,stretched_salaried,3820.1,2451.04,1606.51,CRITICAL_EWS
NW000912,2026-06-26,stretched_salaried,3955.26,2262.81,1335.74,CRITICAL_EWS
NW000914,2026-06-25,gig_worker,4060.94,2151.66,1133.23,CRITICAL_EWS
NW000914,2026-06-27,gig_worker,4226.87,2151.66,1133.23,CRITICAL_EWS
NW000914,2026-07-26,gig_worker,4419.24,2151.66,1133.23,CRITICAL_EWS
NW000917,2026-06-28,stretched_salaried,4715.65,2926.25,2003.69,CRITICAL_EWS
NW000925,2026-05-26,gig_worker,5327.71,3023.13,2053.29,CRITICAL_EWS
NW000925,2026-05-27,gig_worker,5931.22,3023.13,2053.29,CRITICAL_EWS
NW000938,2026-07-27,sme_distressed,2794.09,946.88,235.86,CRITICAL_EWS
NW000966,2026-06-25,gig_worker,4390.92,2459.13,1574.98,CRITICAL_EWS
NW000971,2026-05-28,young_professional,5396.1,4178.99,3417.13,CRITICAL_EWS
NW000972,2026-07-25,sme_distressed,4672.34,2246.72,1372.74,CRITICAL_EWS
NW000982,2026-05-28,near_retiree,22109.97,19581.01,18360.62,CRITICAL_EWS
NW000990,2026-07-28,sme_seasonal,8522.42,7013.5,6014.41,HIGH_VARIANCE
