customer_id,segment,forecast_fhs_day14,forecast_fhs_day30,fhs_trend,overdraft_days,min_forecast_balance,n_anomalies
NW000001,gig_worker,54.6,43.5,-10.5,0,2544.89,0
NW000002,sme_distressed,25.7,28.8,-6.5,0,735.81,0
NW000003,near_retiree,68.4,70.8,-1.6,0,18519.87,0
NW000004,young_professional,61.6,61.3,0.3,0,1726.2,0
NW000005,stable_salaried,94.1,91.9,1.8,0,5953.55,0
NW000006,stable_salaried,86.2,77.0,-9.3,0,6834.11,0
NW000007,stable_salaried,73.1,77.1,-6.0,0,6680.37,0
NW000008,sme_seasonal,60.3,47.0,-10.1,0,6224.44,0
NW000009,young_professional,36.8,38.7,-3.1,0,1957.93,0
NW000010,near_retiree,64.8,57.0,-8.6,0,7138.11,0
NW000011,stable_salaried,74.8,72.7,-11.7,0,8397.82,0
NW000012,sme_distressed,30.3,31.2,-7.2,3,456.96,1
NW000013,sme_seasonal,62.2,65.2,-0.8,0,4011.68,1
NW000014,stretched_salaried,21.2,25.4,-1.1,0,1277.99,0
NW000015,stable_salaried,80.7,78.8,-5.5,0,9899.53,1
NW000016,stable_salaried,70.8,89.8,13.6,0,6535.12,0
NW000017,stretched_salaried,36.9,27.3,-12.2,0,3426.84,1
NW000018,freelancer,66.3,64.9,-1.7,0,1797.83,0
NW000019,gig_worker,43.8,29.8,-15.4,0,4643.58,0
NW000020,stretched_salaried,41.2,50.2,4.1,0,2296.06,2
NW000021,young_professional,37.0,31.5,-1.6,3,658.61,0
NW000022,stable_salaried,71.2,77.4,3.3,0,8009.0,0
NW000023,stretched_salaried,39.5,40.2,-5.3,0,1451.56,0
NW000024,gig_worker,37.0,25.0,-16.6,0,3181.87,0
NW000025,gig_worker,50.8,61.7,5.3,0,3689.34,0
NW000026,sme_seasonal,46.3,45.5,-4.6,0,5369.43,0
NW000027,stable_salaried,70.2,61.7,-7.9,0,7280.23,0
NW000028,freelancer,61.3,57.7,2.0,21,183.19,0
NW000029,young_professional,60.7,58.3,-3.0,0,2698.29,0
NW000030,stable_salaried,69.9,70.0,-3.0,0,9709.55,0
NW000031,young_professional,59.6,53.1,-4.4,0,2878.0,0
NW000032,stable_salaried,76.1,75.5,-4.4,0,8977.19,0
NW000033,stable_salaried,73.3,61.3,-17.0,0,9200.14,0
NW000034,sme_distressed,32.0,32.4,-9.4,0,1271.97,1
NW000035,sme_distressed,24.4,10.1,-16.1,0,828.27,0
NW000036,sme_seasonal,41.1,36.6,-5.9,0,5649.46,0
NW000037,stretched_salaried,36.6,32.4,-9.7,0,1763.71,1
NW000038,stable_salaried,71.9,77.0,-4.6,0,9774.71,0
NW000039,young_professional,43.7,48.6,1.5,0,5626.89,0
NW000040,gig_worker,59.4,54.8,-6.2,0,2660.27,0
NW000041,stable_salaried,79.1,66.6,-13.5,0,8690.49,0
NW000042,freelancer,34.6,28.5,-5.0,0,4984.62,0
NW000043,stable_salaried,51.7,63.6,-1.6,0,9245.46,0
NW000044,sme_distressed,27.9,25.8,-4.7,0,3291.26,0
NW000045,stretched_salaried,32.3,30.7,-1.6,0,634.2,1
NW000046,young_professional,49.4,55.8,0.6,0,3975.22,0
NW000047,stretched_salaried,41.2,47.8,4.5,0,2328.12,0
NW000048,freelancer,28.8,32.1,2.1,0,2634.59,0
NW000049,freelancer,63.7,62.9,0.6,0,2755.09,0
NW000050,stable_salaried,76.9,83.6,0.8,0,9900.64,0
NW000051,sme_distressed,23.0,19.4,-5.4,0,1007.42,1
NW000052,near_retiree,76.5,82.9,-2.3,0,8891.67,0
NW000053,sme_distressed,22.1,5.7,-16.5,0,1212.53,1
NW000054,sme_seasonal,49.5,49.0,-7.5,0,4432.01,0
NW000055,young_professional,47.0,55.7,4.2,30,3.74,0
NW000056,sme_distressed,18.9,22.3,-1.9,1,688.3,0
NW000057,stable_salaried,72.0,68.5,-7.6,0,7876.41,0
NW000058,stable_salaried,85.2,89.5,-5.7,0,10060.15,0
NW000059,stable_salaried,76.5,80.8,-2.2,0,8831.54,0
NW000060,stretched_salaried,8.9,0.0,-13.7,0,2126.96,0
NW000061,gig_worker,47.8,39.7,-6.1,0,1932.9,1
NW000062,stretched_salaried,38.5,32.3,-2.7,0,662.81,0
NW000063,sme_seasonal,56.2,44.9,-16.3,0,2995.95,0
NW000064,gig_worker,57.0,50.8,-3.9,0,2474.68,0
NW000065,stretched_salaried,42.1,43.4,-2.3,0,1146.88,0
NW000066,freelancer,32.8,36.4,-2.7,0,2213.43,0
NW000067,stable_salaried,80.9,78.8,-2.2,0,6741.73,0
NW000068,sme_seasonal,41.5,50.0,6.4,0,2909.5,0
NW000069,stable_salaried,71.8,57.9,-14.3,0,7143.55,0
NW000070,sme_distressed,30.6,32.5,-4.8,0,922.43,0
NW000071,near_retiree,79.7,71.5,-9.5,0,16296.22,0
NW000072,stable_salaried,75.6,72.3,1.2,0,9644.64,0
