customer_id,segment,risk_tier,avg_fhs,green_days
NW000001,gig_worker,High,25.4,92
NW000002,sme_distressed,Medium,42.5,155
NW000003,near_retiree,Low,76.3,279
NW000004,young_professional,Medium,49.7,181
NW000005,stable_salaried,Low,80.8,295
NW000006,stable_salaried,Low,74.7,273
NW000007,stable_salaried,Low,80.3,293
NW000008,sme_seasonal,Medium,43.2,157
NW000009,young_professional,Medium,45.9,168
NW000010,near_retiree,Low,70.3,257
NW000011,stable_salaried,Low,76.2,279
NW000012,sme_distressed,High,28.5,104
NW000013,sme_seasonal,Medium,55.7,203
NW000014,stretched_salaried,High,28.4,104
NW000015,stable_salaried,Low,87.4,319
NW000016,stable_salaried,Medium,56.3,206
NW000017,stretched_salaried,Medium,53.8,196
NW000018,freelancer,Medium,55.9,204
NW000019,gig_worker,Low,68.3,250
NW000020,stretched_salaried,Medium,39.3,143
NW000021,young_professional,Low,74.4,272
NW000022,stable_salaried,Low,65.1,238
NW000023,stretched_salaried,High,25.2,92
NW000024,gig_worker,High,18.0,65
NW000025,gig_worker,Medium,56.8,207
NW000026,sme_seasonal,High,34.5,126
NW000027,stable_salaried,Low,72.6,265
NW000028,freelancer,Medium,35.0,128
NW000029,young_professional,Low,62.5,228
NW000030,stable_salaried,Low,66.7,244
NW000031,young_professional,Low,66.5,243
NW000032,stable_salaried,Low,76.7,280
NW000033,stable_salaried,Low,79.3,290
NW000034,sme_distressed,High,24.1,88
NW000035,sme_distressed,High,33.6,122
NW000036,sme_seasonal,Medium,47.9,175
NW000037,stretched_salaried,High,28.1,102
NW000038,stable_salaried,Low,60.5,221
NW000039,young_professional,Medium,52.3,191
NW000040,gig_worker,Medium,55.4,202
NW000041,stable_salaried,Low,82.9,303
NW000042,freelancer,High,21.7,79
NW000043,stable_salaried,Low,68.2,249
NW000044,sme_distressed,Medium,39.5,144
NW000045,stretched_salaried,High,28.2,103
NW000046,young_professional,Medium,56.6,207
NW000047,stretched_salaried,Medium,56.6,207
NW000048,freelancer,Medium,49.6,181
NW000049,freelancer,Medium,50.5,184
NW000050,stable_salaried,Low,80.4,294
NW000051,sme_distressed,High,27.5,100
NW000052,near_retiree,Low,73.9,270
NW000053,sme_distressed,High,19.5,71
NW000054,sme_seasonal,Medium,35.6,130
NW000055,young_professional,Medium,51.1,187
NW000056,sme_distressed,High,29.8,109
NW000057,stable_salaried,Low,69.0,252
NW000058,stable_salaried,Low,66.7,244
NW000059,stable_salaried,Low,83.4,305
NW000060,stretched_salaried,High,19.9,72
NW000061,gig_worker,Medium,39.5,144
NW000062,stretched_salaried,High,32.2,117
NW000063,sme_seasonal,Low,76.0,278
NW000064,gig_worker,Medium,39.2,143
NW000065,stretched_salaried,High,29.0,106
NW000066,freelancer,Medium,40.6,148
NW000067,stable_salaried,Low,68.6,251
NW000068,sme_seasonal,Medium,50.1,183
NW000069,stable_salaried,Medium,55.8,204
NW000070,sme_distressed,High,23.1,84
NW000071,near_retiree,Low,75.7,277
NW000072,stable_salaried,Low,67.3,246
NW000073,stable_salaried,Low,65.5,239
NW000074,sme_seasonal,Medium,39.1,143
NW000075,near_retiree,Low,78.8,288
NW000076,near_retiree,Low,77.7,284
NW000077,near_retiree,Low,92.9,339
NW000078,stable_salaried,Low,73.1,267
NW000079,gig_worker,High,28.2,103
NW000080,stable_salaried,Low,78.5,287
NW000081,sme_seasonal,Medium,44.9,164
NW000082,young_professional,Low,62.1,227
NW000083,stretched_salaried,High,30.2,110
NW000084,stable_salaried,Low,87.2,319
NW000085,stretched_salaried,High,22.6,82
NW000086,stretched_salaried,Medium,40.0,146
NW000087,near_retiree,Low,69.7,255
NW000088,young_professional,Medium,54.7,200
NW000089,sme_seasonal,Medium,40.0,146
NW000090,freelancer,Medium,37.4,137
NW000091,stable_salaried,Low,78.3,286
NW000092,near_retiree,Low,83.0,303
NW000093,near_retiree,Low,68.8,251
NW000094,freelancer,Low,73.5,268
NW000095,near_retiree,Low,67.0,245
NW000096,freelancer,Low,66.8,244
NW000097,freelancer,Medium,35.6,130
NW000098,gig_worker,Medium,35.4,129
NW000099,stable_salaried,Low,76.3,279
NW000100,stable_salaried,Medium,55.7,203
NW000101,stable_salaried,Low,70.6,258
NW000102,young_professional,Low,62.0,226
NW000103,stretched_salaried,Medium,39.2,143
NW000104,freelancer,High,23.3,85
NW000105,sme_distressed,High,19.6,71
NW000106,stretched_salaried,High,25.1,92
NW000107,gig_worker,Medium,53.4,195
NW000108,near_retiree,Low,67.7,247
NW000109,stretched_salaried,Medium,39.8,145
NW000110,stable_salaried,Low,88.0,322
NW000111,stretched_salaried,Medium,44.5,162
NW000112,stable_salaried,Low,73.0,267
NW000113,sme_distressed,High,17.7,64
NW000114,sme_seasonal,Low,60.9,222
NW000115,young_professional,Low,61.0,223
NW000116,sme_seasonal,High,31.0,113
NW000117,sme_seasonal,Medium,46.8,171
NW000118,stable_salaried,Low,77.6,283
NW000119,sme_seasonal,Medium,39.3,143
NW000120,freelancer,High,35.0,127
NW000121,sme_seasonal,Medium,46.8,171
NW000122,sme_seasonal,Low,62.2,227
NW000123,stretched_salaried,High,26.3,96
NW000124,stable_salaried,Low,69.3,253
NW000125,stretched_salaried,High,27.2,99
NW000126,gig_worker,Low,80.4,294
NW000127,sme_seasonal,High,11.5,41
NW000128,sme_seasonal,Low,63.1,230
NW000129,stable_salaried,Low,76.3,279
NW000130,freelancer,Medium,55.5,203
NW000131,gig_worker,High,28.8,105
NW000132,stretched_salaried,Low,62.7,229
NW000133,stable_salaried,Low,73.6,269
NW000134,stretched_salaried,High,22.1,80
NW000135,sme_distressed,High,27.8,101
NW000136,stretched_salaried,Medium,48.8,178
NW000137,freelancer,Low,74.9,274
NW000138,near_retiree,Low,62.2,227
NW000139,gig_worker,Medium,51.6,189
