date,segment,forecast_week,median_balance,median_naive,p25_balance,p75_balance,liquidity_exposure_pct,stress_exposure_pct,median_fhs,market_divergence
2026-08-13,stable_salaried,1,8809.41,9001.52,8204.19,9414.63,0.0,2.8,67.4,-192.1
2026-08-14,stable_salaried,1,8686.46,8711.59,8081.24,9291.68,1.9,6.5,71.2,-25.13
2026-08-15,stable_salaried,1,8833.33,8877.79,8228.11,9438.56,2.0,6.2,74.6,-44.45
2026-08-16,stable_salaried,1,8856.02,9110.59,8250.8,9461.24,1.2,9.2,84.3,-254.57
2026-08-17,stable_salaried,1,8884.25,8941.7,8279.03,9489.47,19.2,26.7,68.5,-57.46
2026-08-18,stable_salaried,1,8880.37,8729.77,8275.14,9485.59,2.4,7.5,70.2,150.6
2026-08-19,stable_salaried,1,8772.43,8489.02,8167.21,9377.65,5.2,8.2,70.9,283.41
2026-08-20,stable_salaried,2,8931.42,8630.22,8326.2,9536.64,3.9,9.6,75.6,301.2
2026-08-21,stable_salaried,2,8808.47,8922.81,8203.25,9413.69,9.6,15.1,72.7,-114.34
2026-08-22,stable_salaried,2,8955.35,9018.41,8350.13,9560.57,15.2,22.6,81.4,-63.07
2026-08-23,stable_salaried,2,8978.03,8989.52,8372.81,9583.25,8.3,13.8,77.0,-11.49
2026-08-24,stable_salaried,2,9006.26,9076.75,8401.04,9611.48,11.3,19.8,77.4,-70.49
2026-08-25,stable_salaried,2,9002.38,8837.76,8397.16,9607.6,5.3,8.6,75.0,164.62
2026-08-26,stable_salaried,2,8894.44,8922.12,8289.22,9499.66,5.2,15.3,75.3,-27.68
2026-08-27,stable_salaried,3,9053.44,8971.13,8448.21,9658.66,6.4,14.2,76.7,82.31
2026-08-28,stable_salaried,3,8930.48,8962.98,8325.26,9535.7,16.6,23.6,69.6,-32.5
2026-08-29,stable_salaried,3,9077.36,9360.03,8472.14,9682.58,6.5,9.1,79.1,-282.67
2026-08-30,stable_salaried,3,9100.04,9251.47,8494.82,9705.26,1.0,5.6,77.0,-151.42
2026-08-31,stable_salaried,3,9128.27,9159.89,8523.05,9733.49,28.4,39.6,75.6,-31.62
2026-09-01,stable_salaried,3,9124.39,8948.54,8519.17,9729.61,0.8,6.8,73.3,175.85
2026-09-02,stable_salaried,3,9016.46,9158.28,8411.23,9621.68,8.0,12.2,70.5,-141.82
2026-09-03,stable_salaried,4,9175.45,9134.25,8570.23,9780.67,7.5,12.1,70.3,41.19
2026-09-04,stable_salaried,4,9052.49,9073.54,8447.27,9657.71,8.6,9.4,68.0,-21.05
2026-09-05,stable_salaried,4,9199.37,9272.29,8594.15,9804.59,20.5,28.5,80.3,-72.92
2026-09-06,stable_salaried,4,9222.05,9161.65,8616.83,9827.28,19.2,27.8,69.6,60.41
2026-09-07,stable_salaried,4,9250.28,9290.98,8645.06,9855.5,19.7,28.7,77.3,-40.7
2026-09-08,stable_salaried,4,9246.4,9452.35,8641.18,9851.62,9.7,14.6,80.6,-205.95
2026-09-09,stable_salaried,4,9138.47,9252.98,8533.25,9743.69,5.9,11.4,75.3,-114.51
2026-09-10,stable_salaried,5,9297.46,9246.59,8692.24,9902.68,24.0,37.0,72.8,50.87
2026-09-11,stable_salaried,5,9174.5,9201.24,8569.28,9779.72,20.7,31.6,70.4,-26.74
2026-08-13,stretched_salaried,1,1990.9,1948.35,1368.0,2613.79,35.1,48.0,41.7,42.54
2026-08-14,stretched_salaried,1,1840.0,1882.08,1217.11,2462.89,36.9,50.5,26.5,-42.09
2026-08-15,stretched_salaried,1,1990.42,1858.17,1367.53,2613.31,42.6,60.4,42.3,132.25
2026-08-16,stretched_salaried,1,1981.75,2014.29,1358.85,2604.64,36.1,47.7,36.1,-32.54
2026-08-17,stretched_salaried,1,2006.57,1998.59,1383.68,2629.46,32.9,46.3,43.8,7.98
2026-08-18,stretched_salaried,1,1997.49,2127.56,1374.6,2620.38,35.6,48.1,34.7,-130.07
2026-08-19,stretched_salaried,1,1824.16,1953.91,1201.27,2447.05,34.2,47.3,31.1,-129.74
2026-08-20,stretched_salaried,2,1989.62,2155.3,1366.72,2612.51,39.4,57.3,42.8,-165.68
2026-08-21,stretched_salaried,2,1838.72,1827.08,1215.83,2461.61,35.7,49.0,36.0,11.64
2026-08-22,stretched_salaried,2,1989.14,1740.65,1366.25,2612.03,39.7,58.2,31.9,248.5
2026-08-23,stretched_salaried,2,1980.47,1923.61,1357.58,2603.36,42.5,55.6,40.4,56.86
2026-08-24,stretched_salaried,2,2005.29,2336.7,1382.4,2628.18,41.8,57.3,39.7,-331.41
2026-08-25,stretched_salaried,2,1996.21,2032.39,1373.32,2619.1,43.4,61.6,44.7,-36.17
2026-08-26,stretched_salaried,2,1822.88,1657.22,1199.99,2445.77,48.5,65.4,43.7,165.67
2026-08-27,stretched_salaried,3,1988.34,1810.76,1365.45,2611.23,42.1,57.2,49.2,177.58
2026-08-28,stretched_salaried,3,1837.44,1852.97,1214.55,2460.33,51.3,68.1,33.2,-15.54
2026-08-29,stretched_salaried,3,1987.86,1941.72,1364.97,2610.75,45.9,60.9,41.6,46.14
2026-08-30,stretched_salaried,3,1979.19,1602.74,1356.3,2602.08,51.0,68.3,40.7,376.45
2026-08-31,stretched_salaried,3,2004.01,2093.24,1381.12,2626.9,52.9,73.4,31.9,-89.23
2026-09-01,stretched_salaried,3,1994.93,2096.12,1372.04,2617.82,44.8,61.1,38.4,-101.19
2026-09-02,stretched_salaried,3,1821.6,1913.93,1198.71,2444.49,42.4,60.5,41.5,-92.33
2026-09-03,stretched_salaried,4,1987.06,1991.89,1364.17,2609.95,49.7,66.0,36.5,-4.83
2026-09-04,stretched_salaried,4,1836.16,1948.12,1213.27,2459.05,35.8,48.8,26.3,-111.96
2026-09-05,stretched_salaried,4,1986.58,2003.21,1363.69,2609.47,45.1,64.3,31.2,-16.63
2026-09-06,stretched_salaried,4,1977.91,2091.12,1355.02,2600.8,45.2,59.6,17.6,-113.22
2026-09-07,stretched_salaried,4,2002.73,2040.51,1379.84,2625.62,44.8,59.7,40.4,-37.78
2026-09-08,stretched_salaried,4,1993.65,2017.96,1370.76,2616.54,46.2,61.9,32.7,-24.31
2026-09-09,stretched_salaried,4,1820.32,1816.51,1197.43,2443.21,40.2,53.8,37.4,3.81
2026-09-10,stretched_salaried,5,1985.78,2112.26,1362.89,2608.67,48.3,67.1,48.0,-126.49
2026-09-11,stretched_salaried,5,1834.88,1930.03,1211.99,2457.77,52.5,69.9,33.1,-95.15
2026-08-13,gig_worker,1,2470.15,2523.19,1881.8,3058.5,29.7,40.0,37.8,-53.04
2026-08-14,gig_worker,1,2295.35,2458.55,1707.0,2883.7,35.3,48.2,42.7,-163.19
2026-08-15,gig_worker,1,2440.64,2517.62,1852.29,3028.99,23.5,35.1,49.3,-76.98
2026-08-16,gig_worker,1,2417.81,2368.96,1829.46,3006.15,36.9,49.5,36.8,48.85
2026-08-17,gig_worker,1,2458.23,2228.14,1869.88,3046.58,34.2,47.9,49.9,230.09
2026-08-18,gig_worker,1,2458.76,2269.69,1870.41,3047.1,32.4,44.9,28.5,189.06
2026-08-19,gig_worker,1,2336.13,2503.52,1747.78,2924.48,39.8,59.3,42.4,-167.39
2026-08-20,gig_worker,2,2492.44,2194.06,1904.09,3080.79,27.7,38.0,45.9,298.38
2026-08-21,gig_worker,2,2317.64,2274.86,1729.29,2905.99,36.5,52.8,48.6,42.78
2026-08-22,gig_worker,2,2462.93,2367.89,1874.58,3051.28,33.1,45.3,33.9,95.04
2026-08-23,gig_worker,2,2440.1,2656.73,1851.75,3028.44,33.5,49.8,37.4,-216.63
2026-08-24,gig_worker,2,2480.52,2381.94,1892.17,3068.87,33.5,50.9,47.4,98.58
2026-08-25,gig_worker,2,2481.04,2444.4,1892.7,3069.39,31.0,40.7,46.7,36.65
