date,segment,median_balance,mean_fhs,pct_fhs_danger
2026-05-15,stable_salaried,8595.43,75.4,0.0
2026-05-16,stable_salaried,8611.25,75.1,0.0
2026-05-17,stable_salaried,8575.36,74.7,0.0
2026-05-18,stable_salaried,8548.59,74.5,0.0
2026-05-19,stable_salaried,8582.41,75.1,0.0
2026-05-20,stable_salaried,8589.47,75.1,0.0
2026-05-21,stable_salaried,8627.85,75.3,0.0
2026-05-22,stable_salaried,8588.54,74.3,0.0
2026-05-23,stable_salaried,8602.11,75.4,0.0
2026-05-24,stable_salaried,8583.72,75.9,0.0
2026-05-25,stable_salaried,10524.54,77.8,0.0
2026-05-26,stable_salaried,10446.11,77.3,0.0
2026-05-27,stable_salaried,10482.2,76.5,0.0
2026-05-28,stable_salaried,10476.92,77.1,0.0
2026-05-29,stable_salaried,8564.5,74.5,0.0
2026-05-30,stable_salaried,8656.79,75.1,0.0
2026-05-31,stable_salaried,8635.11,75.7,0.0
2026-06-01,stable_salaried,8572.8,75.6,0.0
2026-06-02,stable_salaried,8615.61,75.7,0.0
2026-06-03,stable_salaried,8600.93,73.5,0.0
2026-06-04,stable_salaried,8644.9,75.3,0.0
2026-06-05,stable_salaried,8632.6,74.9,0.0
2026-06-06,stable_salaried,8606.27,74.0,0.0
2026-06-07,stable_salaried,8587.9,76.0,0.0
2026-06-08,stable_salaried,8576.01,75.8,0.0
2026-06-09,stable_salaried,8576.86,75.1,0.0
2026-06-10,stable_salaried,8605.16,75.3,0.0
2026-06-11,stable_salaried,8566.04,75.5,0.0
2026-06-12,stable_salaried,8581.97,74.8,0.0
2026-06-13,stable_salaried,8617.56,74.9,0.0
2026-06-14,stable_salaried,8582.14,75.3,0.0
2026-06-15,stable_salaried,8609.0,74.1,0.0
2026-06-16,stable_salaried,8640.92,74.8,0.0
2026-06-17,stable_salaried,8630.71,74.7,0.0
2026-06-18,stable_salaried,8603.07,75.0,0.0
2026-06-19,stable_salaried,8627.47,73.3,0.0
2026-06-20,stable_salaried,8603.14,74.2,0.0
2026-06-21,stable_salaried,8572.07,75.2,0.0
2026-06-22,stable_salaried,8616.18,75.1,0.0
2026-06-23,stable_salaried,8623.6,74.8,0.0
2026-06-24,stable_salaried,8624.79,73.8,0.0
2026-06-25,stable_salaried,10407.13,77.1,0.0
2026-06-26,stable_salaried,10397.08,76.7,0.0
2026-06-27,stable_salaried,10540.76,77.5,0.0
2026-06-28,stable_salaried,10543.0,77.0,0.0
2026-06-29,stable_salaried,8598.07,74.7,0.0
2026-06-30,stable_salaried,8647.83,75.0,0.0
2026-07-01,stable_salaried,8623.56,74.6,0.0
2026-07-02,stable_salaried,8628.46,75.6,0.0
2026-07-03,stable_salaried,8633.77,75.1,0.0
2026-07-04,stable_salaried,8590.4,74.3,0.0
2026-07-05,stable_salaried,8634.86,74.8,0.0
2026-07-06,stable_salaried,8606.53,75.7,0.0
2026-07-07,stable_salaried,8621.99,75.7,0.0
2026-07-08,stable_salaried,8620.38,74.6,0.0
2026-07-09,stable_salaried,8643.59,75.3,0.0
2026-07-10,stable_salaried,8655.48,75.4,0.0
2026-07-11,stable_salaried,8582.06,74.5,0.0
2026-07-12,stable_salaried,8609.7,75.5,0.0
2026-07-13,stable_salaried,8645.55,74.9,0.0
2026-07-14,stable_salaried,8617.61,74.8,0.0
2026-07-15,stable_salaried,8675.4,74.7,0.0
2026-07-16,stable_salaried,8610.73,76.0,0.0
2026-07-17,stable_salaried,8640.46,75.8,0.0
2026-07-18,stable_salaried,8687.52,75.6,0.0
2026-07-19,stable_salaried,8621.88,74.4,0.0
2026-07-20,stable_salaried,8624.16,76.1,0.0
2026-07-21,stable_salaried,8629.33,74.0,0.0
2026-07-22,stable_salaried,8616.04,74.7,0.0
2026-07-23,stable_salaried,8581.33,75.0,0.0
2026-07-24,stable_salaried,8643.23,75.1,0.0
2026-07-25,stable_salaried,10381.49,76.9,0.0
2026-07-26,stable_salaried,10520.93,77.0,0.0
2026-07-27,stable_salaried,10538.42,77.3,0.0
2026-07-28,stable_salaried,10463.35,77.5,0.0
2026-07-29,stable_salaried,8572.85,75.8,0.0
2026-07-30,stable_salaried,8576.82,74.3,0.0
2026-07-31,stable_salaried,8618.52,75.0,0.0
2026-08-01,stable_salaried,8647.81,75.3,0.0
2026-08-02,stable_salaried,8554.66,74.5,0.0
2026-08-03,stable_salaried,8624.0,74.4,0.0
2026-08-04,stable_salaried,8629.34,75.4,0.0
2026-08-05,stable_salaried,8606.86,74.7,0.0
2026-08-06,stable_salaried,8651.15,75.2,0.0
2026-08-07,stable_salaried,8605.92,75.4,0.0
2026-08-08,stable_salaried,8606.95,74.2,0.0
2026-08-09,stable_salaried,8635.34,74.6,0.0
2026-08-10,stable_salaried,8656.68,75.2,0.0
2026-08-11,stable_salaried,8562.33,76.2,0.0
2026-08-12,stable_salaried,8650.42,75.3,0.0
2026-05-15,stretched_salaried,1864.78,37.5,44.3
2026-05-16,stretched_salaried,1847.58,38.9,38.6
2026-05-17,stretched_salaried,1823.38,37.8,42.9
2026-05-18,stretched_salaried,1883.77,36.9,45.7
2026-05-19,stretched_salaried,1864.29,38.5,40.7
2026-05-20,stretched_salaried,1856.28,39.2,37.9
2026-05-21,stretched_salaried,1818.91,37.6,42.9
2026-05-22,stretched_salaried,1873.2,38.5,39.3
2026-05-23,stretched_salaried,1865.58,38.9,40.7
2026-05-24,stretched_salaried,1849.96,38.2,41.4
2026-05-25,stretched_salaried,3860.52,49.4,12.1
2026-05-26,stretched_salaried,3835.06,50.0,10.7
2026-05-27,stretched_salaried,3557.74,48.5,18.6
2026-05-28,stretched_salaried,3853.84,47.5,19.3
2026-05-29,stretched_salaried,1873.88,37.8,47.1
2026-05-30,stretched_salaried,1892.74,38.2,42.9
2026-05-31,stretched_salaried,1886.22,41.2,26.4
2026-06-01,stretched_salaried,1852.16,37.7,37.1
2026-06-02,stretched_salaried,1883.3,37.1,44.3
2026-06-03,stretched_salaried,1888.02,38.5,41.4
2026-06-04,stretched_salaried,1843.78,39.2,36.4
2026-06-05,stretched_salaried,1825.91,40.1,34.3
2026-06-06,stretched_salaried,1868.25,39.5,35.7
2026-06-07,stretched_salaried,1840.18,36.4,45.7
2026-06-08,stretched_salaried,1882.09,40.4,35.7
2026-06-09,stretched_salaried,1866.24,37.7,44.3
2026-06-10,stretched_salaried,1882.26,37.6,43.6
2026-06-11,stretched_salaried,1881.59,38.4,35.0
2026-06-12,stretched_salaried,1842.84,39.8,39.3
2026-06-13,stretched_salaried,1827.34,38.3,37.9
2026-06-14,stretched_salaried,1869.56,36.9,45.7
2026-06-15,stretched_salaried,1870.0,38.9,35.0
2026-06-16,stretched_salaried,1857.02,39.9,38.6
